class,object,DER_value,voltage_violation_threshold,undervoltage_violation_threshold,overvoltage_violation_threshold,voltage_fluctuation_threshold,violation_detected






















































































































































,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
,+6700+0j VA,+0.05 pu,+0 pu,+0 pu,+0.03 pu,NONE
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































